Title,Definition
"1-800-PROG-COM","The toll-free number we ask customers to call when they start a quote online but then decide to talk with a direct sales representative."
"1-800-PROGRESSIVE","The toll-free number customers call for Progressive Direct sales, service and claim reporting."
"1-800-SEGUROS®","The toll-free number Spanish-speaking customers call for Progressive Direct sales, service and claim reporting."
"1-888-BOAT-PRO","The toll-free number customers call for Progressive Direct Boat insurance."
"1-888-CYCLE-PRO","The toll-free number customers call for Progressive Direct Motorcycle insurance."
"3-Year Accident and Violation Free Discount","The savings earned by going three years without an at-fault accident; and without a major, minor, speeding or driving-while-intoxicated violation."
"5-Year Accident Free Discount","The savings earned for going five years without an at-fault accident."
"A.M. Best","An independent firm that rates the financial strength and performance of auto insurers, indicating their relative power and stability. The firm evaluates more than 2,600 property and casualty insurers."
"A.M. Best rating statement","An independent evaluation of our financial strength and performance."
"Accident Immunity","A part of the Progressive Auto Advantage Package in which customers have certain accidents waived if they meet a set of criteria."
"accident year reporting","A system of recording accidents and the reserves we used to pay related claims over a 12-month period."
"Accounting Rotational Program (ARP)","An internship program for college students interested in accounting careers. These interns work in accounting roles throughout different parts of the business."
"action","Lawsuit; legal proceeding in court.
"
"actual cash value (ACV)","The replacement value of property, minus depreciation."
"actuary","An insurance professional who evaluates an insurance company’s reserves and financial risk to determine rates and rating methods."
"additional interest (AI)","A person or company, other than the policyholder, who may be liable for an accident involving an insured or an insured vehicle (e.g., a lienholder)."
"additional needed case reserve","The extra funds needed to cover developing costs of a reported claim. Usually needed for larger losses, particularly on policies with higher limits."
"admitted assets","A type of asset that state law allows to be included in an insurance company's financial statements. These assets best show the insurer's financial strength."
"admitted company","An insurance company licensed and authorized to do business in a state."
"Advance Communications Experience (ACE)","A web-based system that works with PolicyPro to create and send hard-copy customer messages."
"affidavit","A written statement affirmed by oath."
"aftermarket parts","See “non-OEM.”"
"Agency Business","Our business unit that sells insurance through more than 35,000 independent agencies. It’s branded as “Drive Insurance” in California only."
"Agency Business Evaluation (ABE)","A group within PCA that monitors our agents’ performance. This group works with account sales representatives to educate agents on procedural issues and address customer and employee concerns."
"agency company","An insurance company that markets and sells products through independent agents."
"agent","A person who sells insurance. “Independent agents” can sell policies for multiple insurance companies. “Captive agents” (e.g., State Farm agents) generally sell policies for only one company."
"Agent Quoting Agent Rates","The proprietary application independent agents use to quote our products for their customers. It’s accessible through ForAgentsOnly.com."
"aggregate limit","The limit that the insurer will pay per policy period toward general liability claims."
"allocated loss adjustment expense","All expenses associated with a claim (e.g., expert witness fees, attorney fees). Also called “defense and containment costs.”"
"all-risk coverage","A type of homeowners insurance that covers anything that happens to a customer’s house, unless it’s excluded in the policy."
"all-terrain vehicle","A three-, four-, or six-wheeled vehicle that has a motorcycle engine and is designed for off-road use. We insure these through our Special Lines division."
"alternative dispute resolution","A method of settling disputes without going to court. We use two methods: “arbitration” where two sides let a third party decide how to settle their issue and “mediation” where a third party tries to arrange an agreement between the two sides."
"Annual Salary Review","An annual process managers follow to determine their direct reports’ salary adjustments."
"annual statement","A financial summary for a given year. Insurance companies submit an annual statement to the insurance department of each state in which they do business."
"Anti Lock Brakes Discount","The savings earned for having antilock brakes on a vehicle."
"Anti Theft Discount","The savings earned for having a system that helps prevent the theft of a vehicle, or aids in the tracking and recovery of a vehicle if it is stolen. It’s available on vehicles with Comprehensive coverage."
"anti-theft device","There are two common kinds, “active anti-theft devices,” such as OnStar, track a vehicle and contact a response center, so the vehicle can be retrieved. “Passive anti-theft devices,” such as car alarms and steering wheel locks, try to prevent theft before it happens. We offer discounts to customers who use these devices."
"application","A form we use to collect driver and vehicle information to determine whether to issue a policy and how much to charge."
"apportionment","A situation when two or more insurers share responsibility for an accident."
"appraisal","An estimate of an item's value."
"appreciation","An increase in value or price."
"Apron Relief Program","A program created in 2020 to assist Progressive’s customers, employees, communities, and agents experiencing hardships during the COVID-19 pandemic."
"arbitration","A way to settle a dispute without going to court. Two sides, such as an insurance company and a customer or vendor, let a third party decide how to settle their issue. See also “alternative dispute resolution.”"
"assigned risk plans","An insurance product sold by our Commercial Auto Insurance Procedure (CAIP) group so that higher risk customers—such as Hazardous Material (HAZMAT) carriers, gas haulers, and bus companies—can get auto insurance if they can’t buy it in the regular market. In these state-run plans, auto insurers are assigned higher risk customers and get paid a fee to sell, service, and manage claims on their policies by the state department of insurance."
"Atlas","The Commercial Auto program that replaced our legacy quoting and servicing system."
"attorney-in-fact","A person who acts on behalf of someone else, as permitted by a written contract. Also called a “power of attorney.”"
"Auto and Special Lines Help","An online resource guide for Agency and Direct Customer Service introduced in 2003. Previously, it was called the “Online Performance Support System (OPSS).”"
"auto insurance","A type of insurance for cars, trucks and other on-road vehicles. It protects a customer from financial losses if their vehicle is damaged or damages another vehicle, property or person."
"auto insurance policy","A legal contract between a customer and an auto insurer. The contract states what types of damage are covered."
"Automatic Card Payment","A process in which a customer makes their initial and recurring payments using their credit or debit card."
"AutoQuote Explorer®","The quoting system used to sell auto insurance policies. The system generates quotes from Progressive as well as policy quotes from other companies. "
"bad faith claim","A customer's complaint against an insurance company for unfairly refusing to pay an insurance claim."
"bad risk","A person with a higher-than-normal chance of having an accident or a vehicle with a higher-than-normal chance of being stolen. While we do, some insurance companies will not accept a bad risk."
"basic limits","Minimum amount of insurance coverage required by state law."
"beneficiary","A person who receives the payout of an insurance policy if the customer dies."
"betterment","An increase in a vehicle’s value due to a repair. We may reduce a claim payment when there is “betterment.”"
"BigRoad","The name of partner electronic logging device vendor."
"bill of sale","A written statement that shows ownership of property has been transferred to someone else."
"binder","A document that shows temporary insurance coverage before the actual policy begins."
"binding restriction","A temporary stop to the sale of physical damage coverage in a geographic area when a natural disaster (e.g., tropical storm, hurricane, hailstorm) is expected. We typically issue “binding restrictions” by county and cancel them shortly after the disaster."
"blanket coverage","A type of insurance for a group of similar items (e.g., jewelry, fine art, antiques). A customer would buy blanket coverage as an alternative to insuring each item separately."
"blanket vendor's single interest","A type of blanket coverage that protects lenders from losses due to physical damage on repossessed vehicles. It also protects lenders if they can't find a borrower or vehicle."
"blog","A frequently updated website on which an author (blogger) records activities and opinions, or gives information about a certain topic. A blog often has an informal style that reflects the author’s personality. Many blogs enable readers to post comments."
"blogger","A person who writes a blog."
"boat insurance","A type of coverage for all varieties of boats and personal watercraft. It is a product of our Special Lines group."
"Bodily Injury Liability coverage","A coverage with which we pay for the damages that a customer’s responsible for as a result of an accident up to the limit they choose, if the customer injures or kills someone while driving."
"broker","A person who helps consumers find and buy insurance. Brokers generally represent consumers, unlike an agent who represents insurance companies. Brokers typically charge customers fees for their services in addition to earning commission from insurance companies. We only sell through brokers in California and New York."
"broker's agreement","A contract between an insurance company and a broker, outlining a broker's rights and responsibilities when writing policies."
"Business Auto","The name for our program that covers ​vehicles used in many industries, ​like couriers, farming and livestock,
food truck vendors/delivery, janitorial services, retail shops, and more."
"Business Insurance Team","The in-house agency that quotes our BOP/GL as well as partner carriers' small business insurance policies to business owners who call us directly for a quote. "
"business market target","An internal title we use for targeted groups in our Commercial Auto program. Commercial Auto offers 5 BMTs: Business Auto, Contractors, For-Hire Specialty, For-Hire Transportation, and Tow."
"Business/Artisan Use Surcharge","A charge a customer pays to remain covered with a Personal Auto policy while using the vehicle for business purposes."
"BusinessQuote Explorer®","The quoting system used to sell small business insurance policies from partner insurance carriers directly to business owners shopping by phone or online. "
"calendar year reporting","A system of recording information over any 12-month period, as determined by the date changes were entered into a financial system."
"cancellation","A way of ending an insurance policy. There are various types of cancellations, “flat cancellation” occurs as or before the policy becomes effective, with all of the premium refunded to the customer. Other cancellations can occur after the policy is in effect, which may result in our refunding all unearned premium."
"captive agent","An agent who works for only one insurance company."
"car year","A standard measurement unit for auto insurance. One “car year” equals 365 days of coverage for a single vehicle."
"case reserve","An amount of money set aside for large, reported claims (cases) we haven't paid yet. The amount is an estimate of what we think we'll need to pay."
"CAT team","See “National Catastrophe Response Team.”"
"catastrophe","A single incident or series of related incidents causing insured property losses of more than a given amount, currently $25 million. At Progressive: a single weather event that results in a high volume of claims."
"Catastrophe Response Center","A location that is the operational hub of the National Catastrophe Response Team (NCRT). Up to 400 NCRT members can work from our Cleveland location to call customers, verify coverage, and schedule appointments during or following catastrophes."
"cause of action","Reason for a lawsuit."
"ceded premium","A portion of the direct written premium that is paid to a reinsurer. The amount left after premium is paid to reinsurers is called “net written premium” or “net premiums written.”"
"ceding","A process of transferring a risk's liability, or some of it, from the original insurer to a reinsurer."
"Central Claims Unit","A group of claims representatives who handle lower-complexity claims in which face-to-face interaction with customers isn't essential. Currently, the group handles physical damage auto claims with up to two vehicles reported by insured parties. Units operate in Cleveland, Austin, and Riverview."
"Central Loss Reporting Unit","A Claims support group that answers calls from customers reporting a claim, 24 hours a day, 7 days a week."
"Central Station monitoring system","A security system that uses alarms in homes and businesses that transmit signals to a central office. Trained operators monitor the system, record signals and take appropriate action. Sometimes customers receive discounted homeowners insurance premiums when they use this type of system in their home."
"certificate of insurance","A document issued by an insurer that shows you have business insurance."
"claim","When a customer or third party requests payment for losses covered by an insurance policy."
"claim card","A card we give to all customers showing their policy number and the phone number to call to report a claim. Formerly called the “Gold Card.”"
"claim note","A status update that a representative writes in ClaimStation about a reported claim, from initial reporting through resolution."
"claim owner","See “file owner.”"
"claimant","A person who makes a claim for losses covered by someone else's insurance policy."
"Claims Automated Reporting System","A computer program that the Central Loss Reporting Unit (CLRU) uses to record new loss reports from customers."
"Claims Contact","A group within our Claims Central Services Organization (CSO) that works with customers to set up claims. It’s made up of the Central Loss Reporting Unit (CLRU), Claims Verification, Glass and CSO Workforce Management, and operates from Austin, Cleveland and Riverview (Tampa)."
"claims contact representative","Typically, the first Progressive representative customers talk to when reporting a claim."
"Claims Data Warehouse","A database for claims process reporting and analysis."
