Acronym,Term,Definition,Related terms
"ABE","Agency Business Evaluation","A group within PCA that monitors our agents’ performance. This group works with account sales representatives to educate agents on procedural issues and address customer and employee concerns.","<div class=""ExternalClass71DA9A8880274AA4850F2911FEABC9BB""><div><a href=""/sites/PGRGlossary/Lists/PGRGlossary/DispForm.aspx?ID=964"">independent agent</a></div></div>"
"ACE","Advance Communications Experience","A web-based system that works with PolicyPro to create and send hard-copy customer messages.",
"ACV","actual cash value","The replacement value of property, minus depreciation. ","<div class=""ExternalClassCEEAB40018CC43C9AADE82DABC19819F""><div><a href=""/sites/PGRGlossary/Lists/PGRGlossary/DispForm.aspx?ID=898"">depreciation</a></div></div>"
"AI","additional interest","A person or company, other than the policyholder, who may be liable for an accident involving an insured or an insured vehicle (e.g., a lienholder).",
"AQAR","Agent Quoting Agent Rates","The proprietary application independent agents use to quote our products for their customers. It’s accessible through ForAgentsOnly.com.","<div class=""ExternalClass49E9612AEC204DB9B2914BD20CEBF95B"">
<div><a href=""/sites/PGRGlossary/Lists/PGRGlossary/DispForm.aspx?ID=937"">ForAgentsOnly.com</a></div></div>"
"ARP","Accounting Rotational Program","An internship program for college students interested in accounting careers. These interns work in accounting roles throughout different parts of the business.","<div class=""ExternalClass3F294814F87E4E42B7E1A494138C9696""><div></div></div>"
"ASR","Annual Salary Review","An annual process managers follow to determine their direct reports’ salary adjustments. ","<div class=""ExternalClass29ECCD8F04E14BAD8693799ED172E7CA"">
<div><a href=""/sites/PGRGlossary/Lists/PGRGlossary/DispForm.aspx?ID=1174"">direct reporting group</a></div></div>"
"BI","Bodily Injury Liability coverage","A coverage with which we pay for the damages that a customer’s responsible for as a result of an accident up to the limit they choose, if the customer injures or kills someone while driving. ","<div class=""ExternalClassB359A398AE2A493AB0E13CA0B7193A20"">
<div><a href=""/sites/PGRGlossary/Lists/PGRGlossary/DispForm.aspx?ID=980"">liability insurance</a></div></div>"
"BVSI","blanket vendor's single interest","A type of blanket coverage that protects lenders from losses due to physical damage on repossessed vehicles. It also protects lenders if they can't find a borrower or vehicle.","<div class=""ExternalClassE493BCF2C7F94A36BB2A01E30517B352"">
<div><a href=""/sites/PGRGlossary/Lists/PGRGlossary/DispForm.aspx?ID=828"">blanket coverage</a></div></div>"
"CAIP","Commercial Automobile Insurance Procedure","A type of insurance for taxi companies, bus companies, truck fleets and other businesses. Many times these companies cannot get insurance elsewhere because other companies determine them to be too great of a risk. ",
"CCR","claims contact representative","Typically, the first Progressive representative customers talk to when reporting a claim.","<div class=""ExternalClass9A8FD07970C844A299E75A044FD3167B""><div><a href=""/sites/PGRGlossary/Lists/PGRGlossary/DispForm.aspx?ID=856"">Claims Contact</a></div></div>"
"CCU","Central Claims Unit","A group of claims representatives who handle lower-complexity claims in which face-to-face interaction with customers isn't essential. Currently, the group handles physical damage auto claims with up to two vehicles reported by insured parties. Units operate in Cleveland, Austin and Riverview.","<div class=""ExternalClass4DF8EFA45A434CE7A52B997B78A36E27"">
<div><a href=""/sites/PGRGlossary/Lists/PGRGlossary/DispForm.aspx?ID=859"">claims representative</a>, <a href=""/sites/PGRGlossary/Lists/PGRGlossary/DispForm.aspx?ID=1049"">physical damage coverage</a></div></div>"
"CL","Commercial Lines","A business division that handles insurance for commercial customers, such as companies that own a small fleet of vehicles for business purposes.","<div class=""ExternalClass21AAA315BD424CA1B148358514E4D0E1""><a href=""/sites/PGRGlossary/Lists/PGRGlossary/DispForm.aspx?ID=1073"">Progressive Commercial Advantage</a></div>"
